"Hardback | 2512 pages",,"01 Oct 1999","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138762431,9781138762435,
"Hardback | 188 pages","156 x 234 x 15mm | 420g","01 Sep 2017","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,,110710954X,9781107109544,
"Paperback | 240 pages","203 x 254 x 15mm | 505g","29 Jun 2016","Oro Editions","ORO Applied Research + Design","San Rafael United States",English,,,"300 colour",194074315X,9781940743158,
"Hardback | 237 pages","155 x 235 x 14mm | 526g","20 Jun 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","28 black &amp; white illustrations 123 colour illustrations 2 black &amp; white tables 120 colour tables biography",3319297473,9783319297477,
"Paperback | 232 pages","152 x 226 x 16mm | 349g","16 Jul 2016","Rowman &amp; Littlefield International",,"London United Kingdom",English,,,,1783485981,9781783485987,
"Paperback | 368 pages","142.24 x 187.96 x 17.78mm | 453.59g","01 Dec 2000","Thieme Publishing Group",,"Stuttgart Germany",English,,,233,313126151X,9783131261519,
"Paperback | 264 pages","171 x 246mm","28 Jun 2019","Polity Press",,"Oxford United Kingdom",English,,,,0745629229,9780745629223,
"Paperback | 241 pages","168 x 238 x 16mm | 419.99g","09 Aug 2013","Springer Vieweg",,"United States",German,,"2013 ed.","black &amp; white illustrations colour illustrations black &amp; white tables colour tables bibliography",3834809810,9783834809810,
"Hardback | 270 pages","167.6 x 242.9 x 19mm | 788g","31 Aug 1979","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,,030640205X,9780306402050,
"Paperback | 1 pages",,"01 Mar 2011","ROWMAN &amp; LITTLEFIELD","Bernan Press","Lanham United States","English Spanish",,"Spanish Edition",,1598884581,9781598884586,
"Paperback | 276 pages","200 x 251 x 20mm | 925.33g","07 Apr 2016","Crystal ClarityU.S.",,"California United States",English,,,"black &amp; white halftones colour illustrations",156589295X,9781565892958,
"Hardback | 2232 pages","156 x 234mm","01 Aug 2004","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138759570,9781138759572,
"Hardback | 256 pages","141 x 222 x 25mm | 456g","01 Aug 2016","Severn House Publishers Ltd",,"Sutton United Kingdom",English,,"First World Publication ed.",,0727886193,9780727886194,444663
"Paperback | 96 pages","127 x 205.7 x 10.2mm | 204.12g","01 Mar 1981","Institute for Contemporary Studies",,"Oakland United States",English,,,,0917616421,9780917616426,
"Hardback | 326 pages","157.5 x 221 x 22.9mm | 589.68g","01 Dec 1988","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971506130,9789971506131,
"Paperback | 165 pages","230 x 290mm","01 Aug 1985","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251011710,9789251011713,
"Paperback | 240 pages","152 x 229 x 12mm | 320g","24 May 2016","WW Norton &amp; Co","Countryman Press Inc.","Woodstock United States",English,,"5th Revised edition","75 black-and-white photographs",158157357X,9781581573572,
"Paperback | 330 pages","174 x 246mm","05 May 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1472451171,9781472451170,
"Hardback | 256 pages","178 x 254 x 16mm | 681g","15 Jun 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","1 black &amp; white illustrations 5 colour illustrations 9 black &amp; white tables biography",331929864X,9783319298641,
"Hardback | 252 pages","200 x 245 x 26mm | 803g","27 Oct 2016","Schilt Publishing b.v.",,"Amsterdam Netherlands",English,,,,9053308644,9789053308646,
"Hardback | 288 pages","140 x 216 x 23mm | 454g","01 Apr 2016","University of Minnesota Press",,"Minnesota United States",English,,,,0816698570,9780816698578,
"Paperback | 256 pages","140 x 216mm","01 Jul 2017","ROWMAN &amp; LITTLEFIELD","Globe Pequot Press","Old Saybrook United States",English,,,,1493019554,9781493019557,
"Hardback | 264 pages","156 x 234 x 27mm | 612g","22 Oct 2015","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,,1474235433,9781474235433,
"Hardback | 1376 pages","156 x 234mm","01 Dec 2008","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138757349,9781138757349,
"Paperback | 248 pages","152 x 226 x 18mm | 318g","25 May 2016","Stanford University Press",,"Palo Alto United States",English,,,,080479894X,9780804798945,
"Hardback | 328 pages","138 x 216mm | 760g","04 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138658936,9781138658936,
"Paperback | 256 pages","206 x 294 x 12mm | 439.98g","31 Dec 2002","Wits University Press",,"Johannesburg South Africa",English,,,,1868143821,9781868143825,
"Hardback | 222 pages","156 x 234mm | 571g","14 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138194352,9781138194359,
"Hardback | 226 pages","174 x 246mm","04 Oct 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"23 black &amp; white tables 7 black &amp; white line drawings",113893447X,9781138934474,
"Hardback | 256 pages","129 x 198mm","23 Feb 2017","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,"10 bw illus",1472576039,9781472576033,
"Hardback | 192 pages","156 x 234mm","31 Jan 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415711673,9780415711678,
"Paperback | 416 pages","152 x 229mm | 571g","26 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"15 line illus. 10 tables.",0691170398,9780691170398,835636
"Hardback | 466 pages",,"30 Jun 2005","Steyler Verlagsbuchhandlung GmbH",,"Sankt Augustin Germany",English,,,,3805005245,9783805005241,1721528
"Hardback | 256 pages","148 x 210 x 22mm | 467g","09 Jun 2016",Springer,,"Dordrecht Netherlands",English,,"2016 ed.","1 colour illustrations 26 black &amp; white tables 10 colour tables biography",3658127937,9783658127930,
"Hardback | 228 pages","155 x 235 x 14mm | 485g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"black &amp; white illustrations",0691643237,9780691643236,
"Hardback | 376 pages","152 x 228 x 26mm | 676g","11 Jul 2017","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,"5 b/w illus.",110713336X,9781107133365,
"Paperback | 240 pages","168 x 239 x 15mm | 408g","11 Jul 2016","Sage Publications Ltd",,"London United Kingdom",English,Revised,"3rd Revised edition",,1473925037,9781473925038,856001
"Paperback | 192 pages","135 x 198 x 13mm | 135g","12 Jul 2016","Hodder &amp; Stoughton General Division","Hodder &amp; Stoughton Ltd","London United Kingdom",English,,,,1473614805,9781473614802,
"Hardback | 104 pages","138 x 216mm | 480g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138172111,9781138172111,
"Hardback | 282 pages","156 x 234mm | 568g","14 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138194700,9781138194700,
"Hardback | 222 pages","152 x 229mm","16 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition","3 black &amp; white illustrations 14 colour illustrations 3 black &amp; white tables",1138945331,9781138945333,
"Paperback | 190 pages","152 x 229 x 10mm | 272g","23 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"14 black &amp; white tables 2 black &amp; white line drawings",1138855782,9781138855786,
"Paperback | 754 pages","174 x 246 x 38mm | 1474g","03 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition","60 black &amp; white illustrations 85 black &amp; white tables 60 black &amp; white line drawings",1138853933,9781138853935,
"Paperback | 48 pages","220.98 x 297.18 x 7.62mm | 181.44g","01 Mar 1985","Alfred Publishing Co. Inc.",,"United States",French,,,,0757926207,9780757926204,
"Hardback | 112 pages","155 x 235 x 8mm | 314g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"black &amp; white illustrations",0691646287,9780691646282,
"Hardback | 600 pages","150 x 250mm | 500g","17 Sep 2018","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,New.,,0470195894,9780470195895,
"Paperback | 196 pages","168 x 240 x 14mm | 339.99g","30 Apr 2014","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",German,,"2014 ed.","black &amp; white illustrations black &amp; white tables bibliography",3642418058,9783642418051,
"Paperback | 167 pages","208.28 x 266.7 x 10.16mm | 521.63g","03 Feb 2014","Intl Pr of Boston Inc",,,English,,,,1571462813,9781571462817,
"Hardback | 578 pages","178 x 254mm","28 Sep 2016","Apple Academic Press Inc.",,"Oakville Canada",English,,,"230 black &amp; white illustrations 8 black &amp; white tables",1482230437,9781482230437,
"Paperback | 384 pages","183 x 231 x 23mm | 544g","15 Apr 2016","McGraw-Hill Education - Europe","McGraw-Hill Inc.US","New York United States",English,,,,007184662X,9780071846622,
"Hardback | 126 pages","148 x 210 x 14mm | 298g","30 May 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,2016.,"3 colour illustrations biography",1137594748,9781137594747,
"Shrink-wrapped pack | 68 pages",,"15 Sep 2005","HRD Press Inc.U.S.",,"Amerherst United States",English,,,,0874258758,9780874258752,
"Hardback | 558 pages","158 x 218 x 34mm | 839.16g","01 Dec 1986","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,Subsequent,Ill.,9971500809,9789971500801,
"Paperback | 48 pages",,"15 May 1994","American Society of Mechanical EngineersU.S.",,"Fairfield United States",English,,,,0791812022,9780791812020,
"Paperback | 63 pages","215.9 x 294.64 x 5.08mm | 226.8g","01 Jun 2009","Alfred Publishing Co. Inc.",,"United States",English,,,,0739060554,9780739060551,
"Hardback | 163 pages","167.64 x 238.76 x 18mm | 333g","28 Mar 2013","Springer Gabler",,"United States",German,,"2013 ed.",,3834940984,9783834940988,
"Hardback | 196 pages",,"01 Jan 2003","Springer Verlag",,"Milan Italy","English Italian",,,,8847001536,9788847001534,
"Paperback | 44 pages",,"01 May 1989","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251027374,9789251027370,
"Hardback | 400 pages","157.5 x 221 x 30.5mm | 567g","01 Dec 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971503352,9789971503352,
"Paperback | 308 pages","150 x 210 x 16mm | 399.16g","01 Jun 1987","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,"New edition",Ill.,997150376X,9789971503765,
"Hardback | 286 pages","157.5 x 218.4 x 20.3mm | 476.28g","01 Sep 1987","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971504170,9789971504175,
"Paperback | 202 pages","167.6 x 238.8 x 15.2mm | 476.28g","30 Nov 1998","Maney Publishing",,"Leeds United Kingdom",English,,,,0901286982,9780901286987,
"Paperback | 300 pages",,"01 Jun 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971505401,9789971505400,
"Hardback | 254 pages","155 x 235 x 16mm | 514g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"black &amp; white illustrations",069164411X,9780691644110,
"Hardback | 752 pages","189 x 246 x 20mm","15 Oct 2019","Cengage Learning Inc","Delmar Cengage Learning","Clifton Park United States",English,Revised,"3rd Revised edition",,1111309434,9781111309435,1982400
"Paperback | 145 pages","167.89 x 240.03mm","18 Sep 2015","Bohn Stafleu van Loghum",,"United States","Dutch; Flemish",,"2015 ed.","black &amp; white illustrations black &amp; white tables bibliography",9036809568,9789036809566,
"Hardback | 197 pages","155 x 235 x 17mm | 454g","30 Aug 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016","1 black &amp; white illustrations 9 colour illustrations biography",1137526750,9781137526755,1348755
"Paperback | 323 pages","230 x 290mm","01 Oct 1985","United Nations",,"New York United States",English,Revised,"3rd Revised edition",,9290482958,9789290482956,
"Hardback | 446 pages","174 x 247 x 27mm | 1096g","23 May 2016","Wiley-VCH Verlag GmbH","Blackwell Verlag GmbH","Berlin Germany",English,,,"100 schwarz-weiße und 50 farbige Abbildungen",3527338942,9783527338948,
"Paperback | 254 pages","154.94 x 238.76 x 20.32mm | 430.91g","15 Oct 2004","VUB University Press",,Belgium,English,,,,9054873582,9789054873587,
"Paperback | 96 pages","222 x 222 x 7mm | 422g","10 May 2016","Search Press Ltd",,"Tunbridge Wells United Kingdom",English,,,"colour illustrations throughout",1782212477,9781782212478,285851
"Paperback | 219 pages","139.7 x 213.4 x 12.7mm | 249.48g","01 Apr 1983","Ohio University Press","Swallow Press","Ohio United States",English,,,,0804003947,9780804003940,
"Hardback | 374 pages","127 x 203 x 22mm | 485g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"black &amp; white illustrations",0691650829,9780691650821,
"Paperback | 224 pages","139 x 215 x 10mm | 318g","01 Jun 2016","Chicago Review Press",,"Chicago United States",English,,,,1613734751,9781613734759,
"Paperback | 384 pages","128 x 176 x 28mm | 182g","30 Jun 2016","Little Brown &amp; Company",FOREVER,"United States",English,,,,1455566543,9781455566549,448186
"Hardback | 416 pages","242.9 x 244 x 168mm | 510g","26 Sep 2016","John Wiley &amp; Sons Inc",,"New York United States",English,,,,111997397X,9781119973973,
"Paperback | 416 pages","134.62 x 195.58 x 33.02mm | 498.95g","01 Feb 1980","Monthly Review PressU.S.",,"New York United States",English,"New edition","New edition",,0853455007,9780853455004,
"Hardback | 2256 pages","156 x 234mm","01 Apr 2010","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138766496,9781138766495,
"Microfilm | 200 pages","223 x 285 x 16mm | 960g","18 Dec 1987","Springer-Verlag New York Inc.",,"New York NY United States",English,,,"XXIII 200 pp. 36 figs.",0387965823,9780387965826,
"Hardback | 321 pages","148 x 210mm | 529g","19 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"2016 ed.",biography,113739613X,9781137396136,
"Hardback | 176 pages","216 x 305mm","13 Sep 2016","Rocky Nook",,"Santa Barbara United States",English,,,"Illustrations throughout",1681980835,9781681980836,867257
"Paperback | 178 pages","138 x 216mm","09 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113882108X,9781138821088,
"Hardback | 184 pages","156 x 235 x 18mm | 385g","02 Jun 2016","Taylor &amp; Francis Inc","Productivity Press","Portland United States",English,,,"16 black &amp; white illustrations",1498710107,9781498710107,
"Hardback | 930 pages","150 x 230 x 49mm | 1402g","01 May 1985","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971966522,9789971966522,
"Hardback | 303 pages","155 x 235 x 18mm | 619g","01 Jun 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","6 black &amp; white illustrations 3 colour illustrations biography",331928438X,9783319284385,
"Paperback | 240 pages","126 x 198mm | 505g","30 Jul 2006","The Women&#039;s Press Ltd",,"London United Kingdom",English,,,,0704347369,9780704347366,
"Hardback | 272 pages","219 x 265mm","22 Feb 2017","GLITTERATI INC",,"New York United States",English,,,"150 colour",1943876312,9781943876310,
"Paperback | 480 pages","129 x 198 x 29mm | 318g","11 Aug 2016","Headline Publishing Group","HEADLINE REVIEW","London United Kingdom",English,,,,1472223721,9781472223722,631240
"Hardback | 334 pages","156 x 234mm","20 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138672912,9781138672918,
"Hardback | 344 pages","156 x 234mm | 860g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138142840,9781138142848,
"Hardback | 128 pages","150 x 190 x 15mm | 408g","15 May 2016","teNeues Publishing UK Ltd","teNeues Media GmbH &amp; Co. KG","Kempen Germany",English,,,"c. 100 colour photographs",3832733663,9783832733667,
"Hardback | 560 pages","155 x 235mm","21 Jul 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","1 black &amp; white illustrations 23 black &amp; white tables biography",3319292927,9783319292922,
"Hardback | 340 pages","152 x 229 x 21mm | 657g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,"black &amp; white illustrations",0691630267,9780691630267,
"Paperback | 32 pages","213.36 x 297.18 x 5.08mm | 90.72g","01 Mar 2002","Alfred Publishing Co. Inc.",,"United States",English,,,,073902695X,9780739026953,
"Hardback | 290 pages","152 x 229 x 18mm | 571g","25 Jul 2016","Princeton University Press",,"New Jersey United States",English,,,,0691635021,9780691635026,
"Paperback | 174 pages","152 x 228 x 12mm | 267g","16 May 2016","University Press of America",,"Lanham MD United States",English,,,,0761867279,9780761867272,
"Mixed media product | 304 pages","178 x 254 x 18mm | 544g","02 Jun 2016","Apple Academic Press Inc.",,"Oakville Canada",English,Revised,"2nd Revised edition","76 black &amp; white illustrations 82 black &amp; white tables",1482299526,9781482299526,
"Hardback | 428 pages","160.02 x 236.22 x 30.48mm | 793.78g","01 Nov 2012","Globe Law and Business",,"London United Kingdom",English,,,,190578368X,9781905783687,
"Hardback | 1072 pages","156 x 234mm","01 Apr 2015","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113876132X,9781138761322,
"Paperback | 144 pages","226.06 x 294.64 x 10.16mm | 771.1g","01 Nov 1992","McGill-Queen&#039;s University Press",,"Montreal Canada","English French",,,"8 colour plates and 82 b&amp;w photographs",0773509712,9780773509719,
"Paperback | 216 pages","138 x 216mm | 308g","28 Jul 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,,1474221122,9781474221122,
"Mixed media product | 450 pages","187.33 x 231.78 x 53mm","01 Aug 2016","McGraw-Hill Education - Europe","McGraw-Hill Inc.US","New York United States",English,,"Study Guide",,0071841601,9780071841603,
"Paperback | 270 pages","156 x 234 x 15mm | 362g","05 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"84 black &amp; white illustrations 17 black &amp; white tables 67 black &amp; white line drawings",1138838950,9781138838956,
"Shrink-wrapped pack | 68 pages",,"15 Sep 2005","HRD Press Inc.U.S.",,"Amerherst United States",English,,,,0874258766,9780874258769,
"Hardback | 210 pages","157.5 x 228.6 x 20.3mm | 408.24g","01 Nov 1986","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971501139,9789971501136,
"Paperback | 281 pages","167.89 x 240.03mm","08 Dec 2015","Bohn Stafleu van Loghum",,"United States","Dutch; Flemish",,"2016 ed.","black &amp; white illustrations bibliography",9036809266,9789036809269,
"Paperback | 192 pages",,"13 May 2021","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,1405159332,9781405159333,
"Hardback | 288 pages","167.6 x 242.9 x 19mm | 788g","31 Dec 1996","Maney Publishing",,"Leeds United Kingdom",English,,,"44 plates",0901286729,9780901286727,
"Hardback | 288 pages","156 x 234 x 6.35mm | 544.31g","06 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,"2nd Revised edition","1 black &amp; white illustrations 5 black &amp; white tables 1 black &amp; white line drawings",1138842648,9781138842649,
"Paperback | 892 pages",,"01 Aug 1988","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971502658,9789971502652,
"Mixed media product | 238 pages","210 x 279 x 19mm | 844g","14 Apr 2016","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"2016 ed.","20 black &amp; white illustrations 10 colour illustrations 10 colour tables biography",3662487934,9783662487938,
"Hardback | 140 pages","156 x 234 x 15mm | 354g","21 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138121304,9781138121300,
"Paperback | 565 pages","155 x 235 x 29mm | 860g","08 May 2016","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"2016 ed.","135 black &amp; white illustrations biography",3662493004,9783662493007,
"Hardback | 112 pages","152 x 211 x 22mm | 470g","07 Jun 2016","PERSEA BOOKS INC",,"New York United States",English,,,"12 color reproductions",0892554681,9780892554683,
"Hardback | 32 pages","208.28 x 256.54 x 7.62mm | 317.51g","30 Sep 2014","Research Press Inc.U.S.",,"IL United States",English,,,,0878226885,9780878226887,
"Hardback | 304 pages","174 x 247 x 18mm | 770g","05 May 2016","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,"118 music examples",1107134587,9781107134584,
"Hardback | 208 pages","156 x 234 x 18mm | 440g","15 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Abridged,,,1138924911,9781138924918,
"Paperback | 200 pages","167.64 x 238.76 x 20mm | 380g","04 Oct 2011","Gabler Verlag",,"United States","English German",,5th,"black &amp; white illustrations bibliography",383492489X,9783834924896,
"Paperback | 456 pages","191 x 232mm | 1000g","01 Dec 2017","Pearson Education (US)","Sams Publishing","Indianapolis United States",English,,,,0672335581,9780672335587,
"Hardback | 1152 pages","162.6 x 223.5 x 68.6mm | 1700.99g","01 Apr 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971506157,9789971506155,
"Hardback | 182 pages",,"01 Mar 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971507587,9789971507589,
"Hardback | 450 pages","152 x 229 x 32mm","31 Aug 1976","Southern Illinois University Press",,"Carbondale United States",English,,,"Illustrations 1map",0809307936,9780809307937,
"Hardback | 360 pages","170 x 242mm","22 Jul 2016","Sage Publications Ltd",,"London United Kingdom",English,Revised,"2nd Revised edition",,1446252612,9781446252611,
"Hardback | 500 pages","157.5 x 215.9 x 25.4mm | 612.36g","01 Mar 1991","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971508397,9789971508395,
"Paperback | 346 pages","152.4 x 213.4 x 12.7mm | 430.92g","01 Jul 1985","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971966646,9789971966645,
"Hardback | 500 pages","160 x 218.4 x 33mm | 884.52g","01 May 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971509407,9789971509408,
"Paperback | 391 pages","168 x 238 x 22mm | 699.99g","30 Nov 2013","Springer vs",,"United States",German,,"2014 ed.","black &amp; white illustrations bibliography",3658001429,9783658001421,
"Paperback | 96 pages","216 x 276mm","17 Jul 2014","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,,,0321887387,9780321887382,
"Hardback | 472 pages","160 x 218.4 x 30.5mm | 771.12g","01 Aug 1992","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971509652,9789971509651,
"Paperback | 427 pages","200.66 x 251.46 x 5.08mm | 1043.26g","01 May 2010","Cengage Learning Asia",,"Singapore Singapore",English,,2nd,,9814272930,9789814272933,
"Paperback | 168 pages","165 x 248 x 13mm | 470g","23 Aug 2016","MUSEUM OF MODERN ART",,"New York United States",English,,,"40 colour illustrations",1633450074,9781633450073,
"Paperback | 160 pages","165 x 248 x 13mm | 285g","28 Jul 2016","MUSEUM OF MODERN ART",,"New York United States",English,,,"40 colour illustrations",1633450082,9781633450080,
"Hardback | 300 pages","154.9 x 218.4 x 25.4mm | 362.88g","01 Aug 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810200374,9789810200374,
"Hardback | 426 pages","152.4 x 228.6 x 25.4mm | 628.22g","01 Feb 1984","Plenum Publishing Corporation",,"New York United States",English,,,,0306414627,9780306414626,
"Paperback | 352 pages","170 x 220mm","01 Jul 1986","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971978601,9789971978600,
"Paperback | 288 pages","156 x 234 x 12.7mm | 448g","06 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition","1 black &amp; white illustrations 5 black &amp; white tables 1 black &amp; white line drawings",1138842672,9781138842670,
"Paperback | 256 pages",,"01 Aug 2018","ROWMAN &amp; LITTLEFIELD","Falcon Guides","United States",English,Revised,"5th Revised edition",,1493012584,9781493012589,
"Hardback | 136 pages","148 x 210mm","29 Aug 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016","19 colour illustrations 3 black &amp; white tables biography",1137592753,9781137592750,
"Paperback | 385 pages","178 x 254mm","14 Nov 2017","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG",aPress,"Berlin Germany",English,,,,1484201167,9781484201169,
"Hardback | 1104 pages","216 x 276 x 41mm | 2268g","11 Apr 2016","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,Revised,"15th Revised edition",,0133254488,9780133254488,486341
"Hardback | 400 pages",,"01 Jul 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810201516,9789810201517,
"Hardback | 222 pages",,"01 Oct 1988","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,,0306430231,9780306430237,
"Hardback | 240 pages","157.5 x 223.5 x 17.8mm | 476.28g","01 Mar 1991","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810203802,9789810203801,
"Paperback | 257 pages",,"21 Apr 2009","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9250061307,9789250061306,
"Paperback | 112 pages","140 x 216mm | 257g","10 Jul 2016","Rocky Mountain Books",,"Surrey BC Canada",English,Revised,"3rd Revised edition","Color and B&amp;W photos throughout Maps Charts",177160154X,9781771601542,
"Hardback | 144 pages","187 x 235 x 12.7mm | 558g","24 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"1 colour illustrations 7 colour tables 1 colour line drawings",1138638501,9781138638501,
"Paperback | 296 pages","152.4 x 228.6mm","30 Apr 2016","University of Illinois Press",,"Baltimore United States",English,Facsimile,"Facsimile of the First with Ne ed.","112 line drawings",0252081528,9780252081521,
"Hardback | 586 pages",,"30 Apr 1983",Springer,"Plenum Publishing Corporation",,English,,,,0306409844,9780306409844,
"Paperback | 480 pages","153 x 234 x 35mm | 657g","12 Jul 2016","FABER &amp; FABER",,"London United Kingdom",English,,Main,,057132505X,9780571325054,90748
"Hardback | 334 pages",,"01 Mar 1989","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"94 black &amp; white illustrations biography",0306431017,9780306431012,
"Paperback | 112 pages","129 x 198mm","30 Mar 2017","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,,1472508599,9781472508591,697069
"Paperback | 544 pages","165 x 221 x 24mm | 836g","14 May 2016","Pearson Education (US)","Que CorporationU.S.","United States",English,Revised,"2nd Revised edition",,0789755831,9780789755834,1325296
"Hardback | 214 pages","152 x 229mm | 430g","26 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations",1138820911,9781138820913,
"Hardback | 241 pages","222 x 286 x 16mm | 1038.72g","01 Jun 1990","Springer-Verlag New York Inc.",,"New York NY United States",English,,,"322 SW-Abb. 17 Farbabb.",0387971688,9780387971681,
"Paperback | 600 pages","178 x 232 x 48mm | 1000g","30 Apr 2017","Pearson Education (US)","Sams Publishing","Indianapolis United States",English,,,,0672338505,9780672338502,
